Target,URL,Label,x_relative_min,y_relative_min,empty,empty,x_relative_max,y_relative_max,empty,empty,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000425226.jpg, 'person',0.152083333,0.321875,,,0.777083333,0.903125,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000440475.jpg, 'person',0.7671875,0.428571429,,,0.8203125,0.599531616,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000266400.jpg, 'person',0.05625,0,,,0.115625,0.133838384,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000069213.jpg, 'person',0.43125,0.021077283,,,0.8125,0.957845433,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000555050.jpg, 'person',0.194,0.574534161,,,0.25,0.658385093,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000292456.jpg, 'person',0.368,0.12,,,0.624,0.8,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000309391.jpg, 'person',0.1234375,0.65625,,,0.1609375,0.84375,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000291634.jpg, 'person',0.806004619,0.2953125,,,0.886836028,0.440625,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000433915.jpg, 'person',0.209375,0.125,,,0.7921875,0.872916667,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000441247.jpg, 'person',0.3828125,0.384433962,,,0.453125,0.54245283,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000309391.jpg, 'person',0.196875,0.575520833,,,0.2203125,0.7265625,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000291634.jpg, 'person',0.658198614,0.3,,,0.702078522,0.4515625,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000139099.jpg, 'person',0.39375,0.233995585,,,0.496875,0.708609272,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000458992.jpg, 'person',0.002083333,0.003125,,,0.952083333,0.6421875,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000481567.jpg, 'person',0.3796875,0.191666667,,,0.5984375,0.585416667,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000251140.jpg, 'person',0.330666667,0.404,,,0.565333333,0.844,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000055022.jpg, 'person',0.8875,0.140625,,,0.970833333,0.265625,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000329614.jpg, 'person',0.108,0.701923077,,,0.182,0.990384615,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000165681.jpg, 'person',0.4953125,0.261261261,,,0.5859375,0.509009009,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000009772.jpg, 'person',0.5,0.359375,,,0.603636364,0.5546875,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000139099.jpg, 'person',0.778125,0.236203091,,,0.8546875,0.445916115,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000102331.jpg, 'person',0.394,0.128851541,,,0.552,0.425770308,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000395180.jpg, 'person',0.05,0.253638254,,,0.259375,0.904365904,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000301376.jpg, 'person',0.870870871,0.732,,,0.993993994,0.884,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000078748.jpg, 'person',0.0875,0.05,,,0.1625,0.2375,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000139099.jpg, 'person',0.5515625,0.209713024,,,0.6046875,0.395143488,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000069213.jpg, 'person',0.1046875,0.039812646,,,0.4390625,0.943793911,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000031817.jpg, 'person',0,0.10625,,,0.988023952,0.95,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000579902.jpg, 'person',0.35971223,0.3625,,,0.68705036,0.784375,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000182611.jpg, 'person',0.09375,0,,,0.754166667,0.678125,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000178982.jpg, 'person',0.715625,0.580796253,,,0.7765625,0.793911007,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000357737.jpg, 'person',0.6328125,0.04375,,,0.915625,0.947916667,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000279278.jpg, 'person',0.2453125,0.002331002,,,0.4515625,0.673659674,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000038829.jpg, 'person',0.3328125,0.192037471,,,0.5421875,0.915690867,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000494869.jpg, 'person',0.423887588,0.1375,,,0.845433255,0.6796875,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000329219.jpg, 'person',0.2734375,0.00234192,,,0.5046875,0.775175644,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000380706.jpg, 'person',0.43125,0.399061033,,,0.59375,0.889671362,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000546976.jpg, 'person',0.094,0.250666667,,,0.844,0.978666667,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000493286.jpg, 'person',0.1328125,0.448467967,,,0.2140625,0.623955432,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000078748.jpg, 'person',0.1484375,0.035416667,,,0.3171875,0.239583333,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000139099.jpg, 'person',0.2671875,0.200883002,,,0.3421875,0.419426049,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000122166.jpg, 'person',0.11875,0.46875,,,0.240625,0.9,,,
TRAINING,drive/MyDrive/Accenture/proj/my_custom_dataset/images/000000394199.jpg, 'person',0.5125,0.072916667,,,0.9984375,0.997916667,,,
