set,path,class,xmin,ymin,0,1,xmax,ymax,2,3
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000425226.jpg, person,0.152083333333333,0.321875,,,0.777083333333333,0.903125,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000440475.jpg, person,0.7671875,0.428571428571429,,,0.8203125,0.599531615925058,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000266400.jpg, person,0.05625,0,,,0.115625,0.133838383838384,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000069213.jpg, person,0.43125,0.021077283372365,,,0.8125,0.957845433255269,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000555050.jpg, person,0.194,0.574534161490683,,,0.25,0.658385093167702,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000292456.jpg, person,0.368,0.12,,,0.624,0.8,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000309391.jpg, person,0.1234375,0.65625,,,0.1609375,0.84375,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.806004618937644,0.2953125,,,0.886836027713626,0.440625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000433915.jpg, person,0.209375,0.125,,,0.7921875,0.872916666666667,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000441247.jpg, person,0.3828125,0.384433962264151,,,0.453125,0.542452830188679,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000309391.jpg, person,0.196875,0.575520833333333,,,0.2203125,0.7265625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000291634.jpg, person,0.658198614318707,0.3,,,0.702078521939954,0.4515625,,
TRAINING, /home/amoel/Documents/ml_misc/tflite/object_detection/tflite_model_maker/on_desktop_linux/my_custom_dataset/images/000000139099.jpg, person,0.39375,0.233995584988962,,,0.496875,0.708609271523179,,
