sample,image,category,xmin,ymin,xmax,ymax
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0462/1798.jpg,sus scrofa,0.2496,0.3633,0.3792,0.6002000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0462/1798.jpg,sus scrofa,0.2015,0.2695,0.5780000000000001,0.5538000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0462/1797.jpg,sus scrofa,0.3001,0.5114,0.8823000000000001,0.9944999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0462/1794.jpg,sus scrofa,0.4318,0.2569,0.9382999999999999,0.6827000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0326/1846.jpg,sus scrofa,0.3626,0.4845,0.5187999999999999,0.618
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0326/1847.jpg,sus scrofa,0.0,0.41439999999999994,0.5177999999999999,0.9999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/1203.jpg,sus scrofa,0.23229999999999998,0.5563,0.636,0.9329999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0476/0963.jpg,sus scrofa,0.2946,0.351,0.6593,0.8037
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0330/0846.jpg,sus scrofa,0.16180000000000003,0.283,0.5869,0.6947
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0438/0753.jpg,sus scrofa,0.2998,0.4355,0.6606000000000001,0.6972
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0438/0754.jpg,sus scrofa,0.625,0.5716,0.68532,0.6955
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0204/0531.jpg,panthera pardus,0.3283,0.4086,0.8302,0.7843
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0204/0530.jpg,panthera pardus,0.563,0.4684,0.9984999999999999,0.8648
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0204/0533.jpg,panthera pardus,0.0,0.3522,0.4627,0.7319
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0204/0529.jpg,panthera pardus,0.839,0.5248,0.9973,0.8429
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0204/0534.jpg,panthera pardus,0.0,0.3294,0.1955,0.6621
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0466/1425.jpg,panthera pardus,0.4623,0.2863,0.8225,0.5537000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0466/1427.jpg,panthera pardus,0.5122,0.323,0.8472999999999999,0.5637
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0466/1426.jpg,panthera pardus,0.5595,0.2774,0.8506,0.5635
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0466/1424.jpg,panthera pardus,0.4394,0.2733,0.8214,0.5612999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0466/1428.jpg,panthera pardus,0.4416999999999999,0.3146,0.8162999999999999,0.6046
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0699.jpg,sus scrofa,0.1683,0.5627,0.3629,0.7098
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0710.jpg,sus scrofa,0.567,0.5793,0.7388999999999999,0.7715000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0700.jpg,sus scrofa,0.1803,0.5753,0.3797,0.6930000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0708.jpg,sus scrofa,0.5744,0.5785,0.783,0.7594
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0706.jpg,sus scrofa,0.4896,0.547,0.6939,0.7656000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0702.jpg,sus scrofa,0.2682,0.5682,0.45230000000000004,0.7213
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0433/0703.jpg,sus scrofa,0.3014,0.5572,0.4514,0.726
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1109.jpg,sus scrofa,0.0,0.4433,0.05967000000000001,0.51171
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1109.jpg,sus scrofa,0.2871,0.44939999999999997,0.3992,0.5084299999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1109.jpg,sus scrofa,0.2924,0.4928,0.4521,0.6856
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1108.jpg,sus scrofa,0.1428,0.4266,0.2662,0.5425
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1108.jpg,sus scrofa,0.3576,0.45790000000000003,0.5397,0.6222000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1108.jpg,sus scrofa,0.05535999999999999,0.4399,0.14409,0.5515
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1110.jpg,sus scrofa,0.2582,0.4384,0.4013,0.5487
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1110.jpg,sus scrofa,0.0,0.4434,0.07772,0.5437000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1110.jpg,sus scrofa,0.3111,0.4832,0.42269999999999996,0.6611
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1107.jpg,sus scrofa,0.05723000000000001,0.44659999999999994,0.14571,0.5449099999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1107.jpg,sus scrofa,0.3423,0.45869999999999994,0.5291,0.6336999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0407/1107.jpg,sus scrofa,0.1555,0.43439999999999995,0.2566,0.5429999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0036/0344.jpg,sus scrofa,0.6237,0.4816,0.9961,0.9244999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0301/1465.jpg,panthera pardus,0.04327999999999999,0.5199,0.54728,0.9197
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0327/1763.jpg,sus scrofa,0.2632,0.3852,0.4798,0.6251
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0476/1454.jpg,sus scrofa,0.11,0.364,0.8143,0.9214
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1806.jpg,sus scrofa,0.604,0.5455,0.729,0.62688
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1806.jpg,sus scrofa,0.5026,0.5162,0.6155,0.6335
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1797.jpg,sus scrofa,0.3476000000000001,0.6097,0.5309,0.7366
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1797.jpg,sus scrofa,0.43799999999999994,0.4972,0.52013,0.6312
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1797.jpg,sus scrofa,0.922,0.5799,0.99846,0.7035
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1794.jpg,sus scrofa,0.2655,0.5047,0.5529,0.7464000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1796.jpg,sus scrofa,0.45629999999999993,0.5748,0.5766,0.7025
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1796.jpg,sus scrofa,0.8406999999999999,0.5498,0.9386799999999998,0.64038
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1796.jpg,sus scrofa,0.428,0.5244,0.5469999999999999,0.60252
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1805.jpg,sus scrofa,0.6291,0.5408,0.7731,0.6322399999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1805.jpg,sus scrofa,0.5031,0.5183,0.6189,0.636
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1811.jpg,sus scrofa,0.4081,0.4656,0.6023000000000001,0.6364000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0400/1813.jpg,sus scrofa,0.43810000000000004,0.5182,0.5972000000000001,0.6406
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0329/0456.jpg,sus scrofa,0.1777,0.3783000000000001,0.7399,0.9899000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0645.jpg,sus scrofa,0.3619,0.5112,0.5488999999999999,0.7223999999999999
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0647.jpg,sus scrofa,0.4766000000000001,0.5762,0.6133000000000001,0.7824000000000001
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0646.jpg,sus scrofa,0.2921,0.5079,0.549,0.8149
TRAINING,https://lilablobssc.blob.core.windows.net/wcs-unzipped/animals/0325/0646.jpg,sus scrofa,0.1107,0.7775,0.5416000000000001,1.0
